top_n,rebalance_days,investment_amount,total_capital_incurred,cagr,max_drawdown,first_date,last_date
12,90,250000,-90167.64000000003,25.73,-6134.850000000002,2022-08-10,2023-09-15
12,90,500000,-185296.71000000014,26.41,-4196.569999999992,2022-08-10,2023-09-15
30,120,250000,-64630.51999999994,19.28,2439.9899999999925,2022-09-23,2023-09-14
10,90,250000,-85415.25,24.42,3179.4300000000003,2022-08-10,2023-09-15
25,90,250000,-59457.96000000009,17.19,4866.7699999999695,2022-08-10,2023-09-15
25,120,250000,-73518.08000000003,21.86,4938.78999999995,2022-09-23,2023-09-14
20,90,500000,-118704.38000000032,17.16,5124.769999999939,2022-08-10,2023-09-15
30,120,500000,-143126.91999999975,21.29,5311.790000000052,2022-09-23,2023-09-14
20,90,250000,-56113.53000000011,16.25,7000.320000000016,2022-08-10,2023-09-15
15,90,500000,-164530.4300000001,23.55,7691.800000000032,2022-08-10,2023-09-15
15,120,250000,-79370.40000000002,23.54,8352.310000000007,2022-09-23,2023-09-14
10,90,500000,-174531.6499999999,24.93,8817.410000000003,2022-08-10,2023-09-15
30,90,250000,-49060.55000000009,14.25,9335.629999999988,2022-08-10,2023-09-15
30,90,500000,-106975.70000000007,15.5,10957.760000000055,2022-08-10,2023-09-15
12,120,250000,-113163.59999999992,33.15,11259.750000000015,2022-09-23,2023-09-14
20,120,250000,-76614.26999999999,22.75,14042.770000000019,2022-09-23,2023-09-14
15,90,250000,-78541.65000000002,22.52,14212.860000000011,2022-08-10,2023-09-15
5,120,250000,-113789.74999999994,33.33,14514.550000000047,2022-09-23,2023-09-14
30,15,250000,-107081.7499999998,27.83,15607.940000000002,2022-04-25,2023-09-22
5,90,250000,-164561.52000000002,45.64,16059.89999999998,2022-08-10,2023-09-15
10,120,250000,-85942.95000000004,25.43,17064.650000000023,2022-09-23,2023-09-14
15,120,500000,-155504.14999999997,23.08,17549.989999999972,2022-09-23,2023-09-14
20,30,250000,-33291.49999999999,9.01,19249.749999999985,2022-05-17,2023-09-28
25,120,500000,-145514.3600000001,21.64,20972.42999999997,2022-09-23,2023-09-14
20,120,500000,-150905.07999999984,22.42,22297.50999999998,2022-09-23,2023-09-14
20,15,250000,-130327.55000000008,33.5,22439.699999999983,2022-04-25,2023-09-22
25,90,500000,-111759.53999999994,16.18,22554.019999999986,2022-08-10,2023-09-15
15,30,250000,-36613.5699999999,9.89,24903.340000000007,2022-05-17,2023-09-28
25,30,250000,-34796.39999999987,9.41,26458.70000000005,2022-05-17,2023-09-28
25,7,250000,-94037.28999999976,23.65,26782.440000000028,2022-04-11,2023-10-05
25,15,250000,-136147.51000000013,34.91,28681.209999999955,2022-04-25,2023-09-22
20,7,250000,-90485.89999999995,22.8,29500.500000000022,2022-04-11,2023-10-05
5,120,500000,-228248.19999999995,33.42,29591.84999999999,2022-09-23,2023-09-14
20,1,250000,-85013.6699999999,21.14,30055.080000000024,2022-04-01,2023-10-09
30,1,250000,-81748.86000000018,20.37,30383.100000000006,2022-04-01,2023-10-09
5,15,250000,-139249.98000000004,35.65,30894.399999999994,2022-04-25,2023-09-22
5,90,500000,-325090.2399999998,45.11,31010.550000000003,2022-08-10,2023-09-15
30,30,250000,-34695.57000000019,9.38,32690.099999999962,2022-05-17,2023-09-28
30,15,500000,-222514.97999999998,28.86,33689.94999999998,2022-04-25,2023-09-22
15,15,250000,-125693.21000000014,32.38,34636.40000000002,2022-04-25,2023-09-22
12,30,250000,-38780.94999999997,10.46,34843.95,2022-05-17,2023-09-28
20,30,500000,-77454.98000000019,10.45,35076.469999999914,2022-05-17,2023-09-28
15,7,250000,-63668.48000000014,16.28,36585.380000000005,2022-04-11,2023-10-05
30,7,250000,-81781.83999999982,20.7,37449.150000000016,2022-04-11,2023-10-05
25,30,500000,-72886.51000000015,9.84,38864.909999999974,2022-05-17,2023-09-28
25,1,250000,-86628.12999999998,21.53,38878.98999999999,2022-04-01,2023-10-09
12,7,250000,-48715.57000000014,12.57,40643.90000000002,2022-04-11,2023-10-05
12,1,250000,-126155.53999999995,30.7,41344.86999999998,2022-04-01,2023-10-09
25,7,500000,-185416.8000000003,23.33,42592.390000000036,2022-04-11,2023-10-05
10,30,250000,-35626.53999999996,9.63,43752.60000000002,2022-05-17,2023-09-28
15,1,250000,-107477.01000000024,26.41,47045.98000000001,2022-04-01,2023-10-09
12,15,250000,-117309.18000000031,30.34,49085.89999999999,2022-04-25,2023-09-22
25,15,500000,-251154.13999999975,32.35,50058.43999999993,2022-04-25,2023-09-22
20,7,500000,-173505.62000000017,21.9,50306.610000000044,2022-04-11,2023-10-05
12,120,500000,-233768.10000000006,34.2,50962.06999999992,2022-09-23,2023-09-14
30,30,500000,-90597.5500000002,12.18,51418.79999999989,2022-05-17,2023-09-28
25,1,500000,-155766.3400000006,19.45,51565.76000000005,2022-04-01,2023-10-09
30,1,500000,-152182.96000000002,19.02,51801.05000000005,2022-04-01,2023-10-09
5,7,250000,-47162.72999999999,12.18,52786.399999999994,2022-04-11,2023-10-05
10,7,250000,-42909.04000000036,11.11,53097.06,2022-04-11,2023-10-05
15,30,500000,-71008.26000000007,9.6,53319.81999999995,2022-05-17,2023-09-28
10,1,250000,-117982.76999999976,28.83,55595.03000000001,2022-04-01,2023-10-09
20,1,500000,-166757.90000000116,20.76,56930.62,2022-04-01,2023-10-09
5,15,500000,-279246.1400000002,35.74,58786.59999999999,2022-04-25,2023-09-22
5,1,250000,-102598.54000000021,25.27,60338.800000000025,2022-04-01,2023-10-09
30,7,500000,-159948.08000000002,20.27,61582.340000000055,2022-04-11,2023-10-05
12,30,500000,-83264.12000000014,11.21,63349.74999999997,2022-05-17,2023-09-28
15,7,500000,-125850.41000000038,16.1,66483.00000000001,2022-04-11,2023-10-05
10,15,250000,-119600.69999999992,30.9,66759.90000000001,2022-04-25,2023-09-22
10,120,500000,-177057.5999999998,26.17,66784.90000000008,2022-09-23,2023-09-14
15,1,500000,-212186.5700000004,26.09,68321.46000000005,2022-04-01,2023-10-09
20,15,500000,-255333.8399999999,32.86,71422.1999999999,2022-04-25,2023-09-22
5,30,250000,-51205.769999999895,13.72,77254.34000000003,2022-05-17,2023-09-28
10,30,500000,-75994.26000000004,10.25,80643.69999999998,2022-05-17,2023-09-28
12,7,500000,-90750.93999999983,11.73,81493.83999999998,2022-04-11,2023-10-05
12,1,500000,-246601.05999999997,30.05,82705.79999999999,2022-04-01,2023-10-09
15,15,500000,-245906.62999999995,31.71,86584.80000000002,2022-04-25,2023-09-22
5,7,500000,-91484.74000000002,11.82,101887.54999999994,2022-04-11,2023-10-05
10,7,500000,-83679.83999999997,10.84,102540.42000000004,2022-04-11,2023-10-05
12,15,500000,-240869.45000000022,31.1,104410.00000000006,2022-04-25,2023-09-22
5,1,500000,-202916.67999999988,25.01,105437.44999999995,2022-04-01,2023-10-09
10,1,500000,-229029.80999999985,28.03,106246.20999999999,2022-04-01,2023-10-09
10,15,500000,-246828.38000000027,31.83,134514.89999999997,2022-04-25,2023-09-22
5,30,500000,-94483.93999999973,12.68,153781.02999999997,2022-05-17,2023-09-28
